,0
0,walmart
1,amazon
2,apple
3,volkswagen
4,mckesson
5,amerisourcebergen
6,bp
7,alphabet
8,exxonmobil
9,daimler
10,at&t
11,cigna
12,microsoft
13,glencore
14,allianz
15,kroger
16,homedepot
17,jpmorganchase
18,axa
19,generalmotors
20,anthem
21,mitsubishi
22,centene
23,fanniemae
24,comcast
25,itochu
26,chevron
27,bankofamerica
28,target
29,nestlé
30,citigroup
31,gazprom
32,facebook
33,sony
34,hitachi
35,carrefour
36,tesco
37,aeon
38,wellsfargo
39,generalelectric
40,intel
41,sinopharm
42,humana
43,cofco
44,mitsui
45,enel
46,lukoil
47,sk
48,e.on
49,pepsico
50,albertsons
51,basf
52,fedex
53,metlife
54,freddiemac
55,waltdisney
56,siemens
57,sinochem
58,engie
59,panasonic
60,aviva
61,marubeni
62,aegon
63,boeing
64,unilever
65,airbus
66,petrobras
67,hp
68,prudential
69,fortum
70,arcelormittal
71,sysco
72,jbs
73,morganstanley
74,ptt
75,indianoil
76,vinci
77,kia
78,eni
79,kddi
80,novartis
81,renault
82,telefónica
83,posco
84,bayer
85,orange
86,merck
87,pegatron
88,bestbuy
89,talanx
90,denso
91,abbvie
92,allstate
93,pemex
94,accenture
95,sumitomo
96,glaxosmithkline
97,saint-gobain
98,sberbank
99,hanwha
100,continental
101,progressive
102,sanofi
103,petronas
104,nationwide
105,pfizer
106,caterpillar
107,tiaa
108,pertamina
109,bunge
110,fresenius
111,vale
112,acs
113,thyssenkrupp
114,bouygues
115,oracle
116,dow
117,americanexpress
118,deutschebank
119,iberdrola
120,nike
121,volvo
122,metro
123,usaa
124,chubb
125,xiaomi
126,deere
127,barclays
128,tatamotors
129,fujitsu
130,aisin
131,exelon
132,coca-cola
133,repsol
134,3m
135,tjx
136,travelers
137,l'oréal
138,tesla
139,sap
140,angloamerican
141,abb
142,canon
143,enbridge
144,medtronic
145,toshiba
146,wistron
147,chs
148,nec
149,bridgestone
150,crh
151,jabil
152,linde
153,danone
154,achmea
155,centrica
156,subaru
157,astrazeneca
158,dollartree
159,amgen
160,ericsson
161,netflix
162,nokia
163,synnex
164,holcim
165,flex
166,riteaid
