,consistentinconsistent,femininemasculine,beneficialharmful,demotivatemotivate,ethicalunethical,satisfiedunsatisfied,flexiblerigid,amateurprofessional,privatepublic,modernoutdated,foreignersnatives,internationallocal,sustainableunsustainable,analoguedigital,conservativeprogressive,globallylocally,individualismteamwork,biasunbias,communicativeuncommunicative,obscuritytransparency,followerinnovator,longtermshortterm,marketingsecret,diversityuniformity,managerworker,declinegrowth,demandsupply,problemsolution,intangibletangible,lossprofit,diplomaticundiplomatic,rewardingunrewarding,autonomousmicromanagement,productservice,ambiguityclarity,seasonaltemporary,impulsivestrategic,mistrusttrust,goaltask,nonrenewablerenewable,advertisingsecretive,innovativetraditional,purchasersupplier,corruptionintegrity,corporateindividual,insidersoutsiders,economicoverpriced,consultantemployees,environmentpollution,connecteddisconnected,costrevenue,discriminationimpartial,collaborationsilo,challengeobscurity,essentialluxury,commitmentrejection,childchildless,riskysecure,localwidespread,artisanalfinancial,demandingeffortless,leasesell,naturaltechnical,onlinestore,familywork,spectatorsstakeholders,majorityminorities,isolatingsocial,detailsoutlines,goodiessalary,allianceproprietorship,physicalremote,credibledeceptive,dependentindependent,bankruptcyprosperity,pressurerelax,opportunitythreat,criminalrightful,neglectresponsible,disorderorder,captivefreedom
Walmart,-0.11565554,-0.120423116,-0.092401035,-0.14171572,0.032652114,0.058496013,0.094844,-0.17467311,-0.007981194,-0.20840536,-0.021707589,-0.012839263,0.038439415,-0.30206937,-0.039737992,-0.13138491,0.08379311,-0.2523394,0.03584284,-0.09140007,-0.0029059018,-0.13088785,-0.08586119,0.0928672,-0.0994833,-0.10703576,-0.13411444,0.065352745,-0.0040574176,-0.049073167,0.056390066,0.058048967,-0.16523616,0.033849902,0.020607084,0.10272131,0.054165326,-0.07866526,0.03128973,-0.026141232,0.069264986,0.022353465,0.025388181,0.09388584,0.05523547,-0.053177975,0.1311896,-0.18509789,-0.02311844,-0.09012503,0.19533499,0.07445957,0.0031414372,-0.07421008,-0.08248762,-0.028887032,-0.07377851,0.02043755,-0.025720557,0.061460525,-0.032653816,-0.06085487,0.11986351,-0.45846584,0.021903837,-0.027664684,-0.053272262,-0.06444718,0.0036162687,0.077674724,0.18650247,-0.005170629,0.06769082,0.011089318,0.09399641,0.20808937,0.12344661,-0.12449779,-0.051046625,-0.038692467,0.09756694
Amazon,-0.16025777,0.038590603,-0.12052444,-0.029582426,0.30920142,-0.012462911,0.20335503,-0.06941767,0.17819168,-0.14430563,-0.071946084,0.082644,-0.00036723056,-0.32854414,0.003782113,0.13215159,0.07241098,-0.25341198,-0.04915485,-0.058956165,0.06331165,-0.01210748,-0.14000884,0.09676153,0.15299739,0.034542132,-0.11920903,-0.028849466,0.08674694,-0.18036804,0.16022706,0.02600721,-0.12517907,0.01162551,-0.027293876,0.18932046,0.17233506,-0.10671101,0.11721121,0.12008653,0.025535654,-0.14715628,0.06535902,0.080524236,0.040028155,-0.120012835,-0.00078469736,-0.036466233,-0.010389578,-0.042519912,-0.02919043,0.1612847,0.0049560447,0.0019447337,0.11391875,-0.066072546,0.081188716,0.080262296,-0.1195648,0.14871499,-0.006914135,-0.016997688,0.050074864,0.04186764,-0.0955947,-0.05880984,0.120088905,-0.0633868,0.106893815,-0.012150501,0.021715306,-0.19607073,-0.001911289,-0.048362385,0.014674468,0.1536916,0.013399923,-0.11122394,-0.040997922,-0.013064465,0.12895541
Apple,-0.15964666,-0.016919486,0.06578278,0.15931639,0.2613992,-0.07037516,-0.031331148,-0.0952664,-0.08380911,-0.19156562,-0.054166697,0.035162713,0.030044422,-0.48043093,0.09622231,0.11264277,0.16603757,-0.1677506,0.120606475,0.0064605414,-0.024970269,-0.07955343,-0.21404818,0.08257286,0.07124916,0.057212893,-0.01858941,-0.011206339,0.06309116,-0.1712464,0.09279358,0.1645678,-0.1976075,0.12886056,-0.016228303,0.13955596,0.07272011,-0.0850907,0.05560097,-0.097665414,0.01360575,-0.045235038,0.11963406,-0.019327398,-0.02731698,0.0393477,-0.021808065,-0.09020836,-0.040185757,0.08511708,-0.05160917,0.0779085,-0.07780531,0.061021034,0.16272959,-0.07393306,-0.13116348,-0.008031393,-0.06740604,0.061976437,-0.07265431,-0.074695416,-0.08613866,-0.184113,-0.07786969,0.037603702,0.0077103535,0.038400482,0.1048462,-0.027099403,0.019295853,-0.13079247,-0.02796782,-0.04210816,0.08457283,0.06366244,0.08754193,-0.08844291,0.11759274,0.046647537,0.054115314
UnitedHealth_Group,-0.13196872,-0.13186866,0.21906665,0.10171554,0.107615896,0.14196154,0.031182824,-0.061853133,0.2827615,-0.16320404,-0.014221615,-0.069689184,0.14986755,-0.04179208,-0.011953236,0.01685512,-0.039331432,-0.16196083,-0.070724785,0.019551095,0.018937219,0.014074358,-0.02896383,0.32876772,-0.007009636,0.11449628,0.11257039,-0.047554515,-0.12719935,-0.22642946,0.063865244,-0.0016022753,-0.09692037,0.010807408,-0.044005938,0.061041404,0.102087036,-0.031575967,0.07173273,0.02399773,0.041972328,0.05179436,0.06535623,-0.03242869,-0.05664046,-0.005118635,0.14008704,-0.1618536,-0.11202884,0.09317125,0.041551538,-0.11408031,0.050689828,0.085338384,0.19169743,-0.05423809,-0.08163594,0.0914768,-0.19351295,-0.15746537,-0.05172487,0.07414558,0.09017095,-0.072006285,0.13411601,-0.10460928,-0.055331707,-0.051464606,0.058063723,-0.01660616,0.08210339,-0.05151189,-0.34095055,-0.15895551,0.0649219,0.100641504,-0.023526404,0.0066687874,0.10912771,0.008519879,0.015543271
Toyota_Motor,-0.10695266,-0.10944437,0.020214811,0.02114207,0.044305783,0.036714364,-0.32722315,-0.06506767,-0.08722829,-0.07565598,0.1166136,-0.21433592,0.025811566,-0.29791954,-0.0652724,0.116364546,-0.09830258,-0.026017427,0.08155536,-0.057038873,-0.02957601,-0.204001,0.03774526,0.2132654,-0.0068334187,0.2062993,-0.01682647,-0.013040022,0.15695985,-0.10814118,-0.008499546,-0.108360425,0.12828685,0.04305041,-0.010222586,-0.112718955,0.020530624,-0.1103964,-0.12213305,-0.15690388,0.039420336,-0.048923746,-0.072490595,0.06616378,0.15265758,0.07813645,0.3036381,-0.12526721,-0.14423747,-0.14030659,0.07223708,-0.17219096,0.08687405,0.059152167,-0.15557437,0.04665619,-0.02056832,-0.025659548,-0.16756566,0.06778311,-0.08055982,-0.081440434,-0.040768035,-0.074082315,0.058326114,-0.057091806,0.011084113,0.15101269,0.10021083,-0.0021474825,0.030480038,0.029911214,0.039510228,0.1292372,-0.0052877413,0.06858788,0.09135147,-0.06766001,0.003125331,-0.041091964,0.0116124395
Volkswagen,-0.119171314,-0.4508828,0.06067913,-0.12723316,-0.09082887,0.08270269,-0.18687786,-0.22104612,-0.07416568,0.042583838,0.16336523,-0.1592369,-0.17561878,-0.04460467,0.063859895,0.11814269,0.013572064,0.08355148,0.104768045,-0.046154026,0.06085241,-0.004322035,-0.099845275,0.19585678,-0.006659595,-0.09424614,-0.0099582225,-0.03262672,0.06526442,-0.12643774,-0.07377662,-0.019634921,0.12618008,0.17403002,0.08329366,-0.06674112,-0.08077168,-0.047191773,0.03913713,-0.065869786,0.19610389,0.0946094,-0.016681818,-0.042879213,0.04575836,-0.12691139,0.17750427,-0.17625557,-0.20611477,-0.09068666,0.16449407,-0.033680882,0.05239922,-0.009532211,-0.20433483,0.01306651,0.09071097,-0.0010469321,-0.027760178,0.1383861,-0.06733408,-0.09349397,-0.10330624,-0.10467908,0.022942215,-0.06453605,0.07208623,-0.026605727,0.09842576,0.017813819,0.07025607,-0.027516771,0.06223713,0.094855025,0.055976734,0.018177563,0.04689747,-0.09744181,-0.010272815,-0.022275833,0.0297456
Berkshire_Hathaway,-0.04327508,-0.14025524,0.28860486,0.07809391,0.16044359,0.12101906,-0.18626103,-0.08042156,0.07645979,0.047567252,0.14772178,0.0076964656,0.17104813,-0.22218816,0.12570667,0.09563346,-0.0047241943,-0.1551018,0.018559443,-0.06673531,-0.049721066,-0.12669155,-0.21984652,0.24001835,-0.10067039,0.053590614,-0.007091518,0.048074245,-0.07882429,-0.109745935,-0.15286306,-0.16079496,0.026576422,0.11154101,0.027637767,0.1022528,0.018275393,-0.14209971,-0.06652448,0.014448015,0.09331935,0.09553117,0.12510805,-0.08938615,0.119650625,0.066858925,0.03014723,-0.14086868,-0.25246906,-0.06232606,0.026753528,0.082387954,-0.10715496,-0.036977004,-0.012527603,0.008340555,-0.058800668,0.11044476,-0.0030608561,-0.10080789,-0.06743835,-0.18138169,0.07073492,-0.0804134,0.089581855,-0.012762048,0.09512838,0.15542997,-0.013926163,-0.021816798,0.07303371,0.02466171,-0.11863779,-0.12033757,-0.12458218,-0.02241103,0.06619762,0.06355232,0.14029458,-0.0133198025,0.15298428
McKesson,-0.040560864,0.11342135,0.09732539,0.14060032,0.16546188,0.1514318,0.09282223,-0.06668846,0.036977153,-0.04591663,-0.021720108,-0.19353935,-0.103648715,-0.016717667,0.1815709,0.12894562,-0.09468555,-0.07639357,-0.08457494,0.015426108,-0.06502389,-0.022838531,0.16815662,0.25015494,-0.029740399,0.051278755,-0.16504368,-0.048873097,-0.034802992,-0.34973156,0.17908572,0.04541215,-0.097847894,0.039716117,0.13939638,-0.060594816,-0.04786593,0.10490794,-0.10824646,-0.054095913,0.0031080276,0.053496856,-0.0035722412,-0.032600228,0.0042561027,0.030775605,-0.07755464,-0.20026769,0.0070197824,0.19050635,-0.09836775,-0.039017588,0.024584236,-0.04619567,0.032813016,0.041949764,0.08556904,-0.0851376,-0.29269612,-0.05661801,-0.068650894,-0.040989004,0.10863787,-0.12006842,0.12238041,-0.112908356,-0.073737785,-0.018619424,0.053534318,-0.08773354,0.081974685,-0.0026623558,-0.22322462,-0.010915099,0.08815468,0.19396135,0.12256165,0.023411393,0.11313331,-0.06889051,0.024524027
Saudi_Aramco,-0.17515942,-0.33133903,0.07606719,-0.1252193,-0.059841443,0.070533015,0.11110692,-0.14178798,0.07541612,0.16226324,0.30770507,-0.048806828,-0.045687173,0.08427296,0.18029524,0.1868752,-0.0692401,0.058921322,-0.017062759,-0.1578167,0.044569425,0.04137066,0.08777886,0.10493285,-0.05124942,0.16141723,-0.126538,-0.13530816,0.12970993,-0.21272968,0.042925537,0.027691178,-0.014182273,0.038034033,0.13968965,-0.047824636,0.010322807,0.15511388,0.02789694,0.03154774,-0.0883477,0.101718545,-0.092187054,-0.07262931,0.13894165,-0.16119657,0.14320566,-0.11291651,-0.3061681,-0.093979865,-0.037421893,-0.019194303,-0.012612015,0.012890039,-0.04821975,0.084815785,-0.03214822,-0.07027399,0.055942524,0.04670479,-0.030590221,0.09658805,0.033015832,-0.038614336,0.026460983,-0.16164474,0.109564185,0.042990282,0.030796029,0.07578662,9.8809454e-05,0.11355926,0.03591733,0.057595357,-0.096479245,0.12921794,0.08781664,-0.015576084,-0.021841943,-0.053386055,0.08636212
Samsung_Electronics,-0.1928501,-0.10264209,0.13046777,-0.0074590165,-0.012989868,-0.06273391,0.118854865,0.15655099,0.065060936,0.06504922,0.3043889,-0.0042153355,0.21689712,-0.3707041,0.0074065453,0.16766751,-0.008101955,-0.021097906,-0.040719956,0.009958698,0.008260901,-0.052152727,0.053212564,-0.0837138,0.052433733,0.26526302,0.11079214,-0.08357853,0.27234548,-0.14700006,-0.011408444,0.14965658,-0.08339717,0.09784957,0.04550882,-0.02621502,0.030754706,-0.07558377,-0.0048002033,0.10334256,-0.09054923,0.09211551,-0.06375751,0.08705917,0.19560926,0.042777542,0.11342654,-0.13532968,-0.115800835,-0.059411895,-0.13090853,0.06628556,0.044178993,-0.042906664,0.0037735566,0.14589398,-0.038637068,-0.02793217,0.042371586,0.0130183445,0.0211003,-0.12639102,-0.05940399,-0.08486942,0.079069234,0.037287302,0.078699656,0.19049399,-0.005363423,-0.023067301,0.028164111,0.08255758,0.0067639006,-0.089456476,-0.12215569,0.1211101,-0.08545988,-0.09458326,0.09000704,-0.020989368,-0.034430906
